time,symbol,fundingRate,exchange
2023-01-14 08:00:00.001,SOLUSDT,0.00027702,Binance
2023-01-14 16:00:00.000,SOLUSDT,0.00019034,Bybit
2023-01-14 16:00:00.000,SOLUSDT,0.0001,Binance
2023-01-15 00:00:00.000,SOLUSDT,0.00013195,Bybit
2023-01-15 00:00:00.010,SOLUSDT,0.00023978,Binance
2023-01-15 08:00:00.000,SOLUSDT,0.00022785,Bybit
2023-01-15 08:00:00.002,SOLUSDT,0.00036502,Binance
2023-01-15 16:00:00.000,SOLUSDT,0.00027196,Bybit
2023-01-15 16:00:00.000,SOLUSDT,0.00012309,Binance
2023-01-16 00:00:00.000,SOLUSDT,0.00024158,Bybit
2023-01-16 00:00:00.010,SOLUSDT,0.00019979,Binance
2023-01-16 08:00:00.000,SOLUSDT,0.0003496,Bybit
2023-01-16 08:00:00.007,SOLUSDT,0.00041624,Binance
2023-01-16 16:00:00.000,SOLUSDT,0.0001,Binance
2023-01-16 16:00:00.000,SOLUSDT,0.0001,Bybit
2023-01-17 00:00:00.000,SOLUSDT,0.0001,Bybit
2023-01-17 00:00:00.004,SOLUSDT,0.00012293,Binance
2023-01-17 08:00:00.000,SOLUSDT,0.0001,Bybit
2023-01-17 08:00:00.005,SOLUSDT,0.0001,Binance
2023-01-17 16:00:00.000,SOLUSDT,0.0001,Bybit
2023-01-17 16:00:00.001,SOLUSDT,0.0001,Binance
2023-01-18 00:00:00.000,SOLUSDT,0.0001,Bybit
2023-01-18 00:00:00.008,SOLUSDT,0.0001,Binance
2023-01-18 08:00:00.000,SOLUSDT,0.0001,Bybit
2023-01-18 08:00:00.009,SOLUSDT,0.0001,Binance
2023-01-18 16:00:00.000,SOLUSDT,0.0001,Bybit
2023-01-18 16:00:00.017,SOLUSDT,0.0001,Binance
2023-01-19 00:00:00.000,SOLUSDT,0.0001,Binance
2023-01-19 00:00:00.000,SOLUSDT,0.0001,Bybit
2023-01-19 08:00:00.000,SOLUSDT,0.0001,Bybit
2023-01-19 08:00:00.015,SOLUSDT,0.0001,Binance
2023-01-19 16:00:00.000,SOLUSDT,0.0001,Bybit
2023-01-19 16:00:00.012,SOLUSDT,0.0001,Binance
2023-01-20 00:00:00.000,SOLUSDT,0.0001,Bybit
2023-01-20 00:00:00.000,SOLUSDT,0.0001,Binance
2023-01-20 08:00:00.000,SOLUSDT,0.0001,Binance
2023-01-20 08:00:00.000,SOLUSDT,0.0001,Bybit
2023-01-20 16:00:00.000,SOLUSDT,0.0001,Binance
2023-01-20 16:00:00.000,SOLUSDT,0.0001,Bybit
2023-01-21 00:00:00.000,SOLUSDT,0.0001,Bybit
2023-01-21 00:00:00.013,SOLUSDT,0.0001,Binance
2023-01-21 08:00:00.000,SOLUSDT,0.00036267,Bybit
2023-01-21 08:00:00.001,SOLUSDT,0.00030268,Binance
2023-01-21 16:00:00.000,SOLUSDT,0.0001,Bybit
2023-01-21 16:00:00.016,SOLUSDT,0.0001,Binance
2023-01-22 00:00:00.000,SOLUSDT,0.0001,Bybit
2023-01-22 00:00:00.000,SOLUSDT,0.0001,Binance
2023-01-22 08:00:00.000,SOLUSDT,0.0001,Binance
2023-01-22 08:00:00.000,SOLUSDT,0.0001,Bybit
2023-01-22 16:00:00.000,SOLUSDT,0.0001,Bybit
2023-01-22 16:00:00.023,SOLUSDT,0.0001,Binance
2023-01-23 00:00:00.000,SOLUSDT,0.00011871,Bybit
2023-01-23 00:00:00.014,SOLUSDT,0.0001,Binance
2023-01-23 08:00:00.000,SOLUSDT,0.0001,Bybit
2023-01-23 08:00:00.014,SOLUSDT,0.0001,Binance
2023-01-23 16:00:00.000,SOLUSDT,0.0001,Bybit
2023-01-23 16:00:00.016,SOLUSDT,0.0001,Binance
2023-01-24 00:00:00.000,SOLUSDT,0.0001,Bybit
2023-01-24 00:00:00.008,SOLUSDT,0.0001,Binance
2023-01-24 08:00:00.000,SOLUSDT,0.00042336,Bybit
2023-01-24 08:00:00.008,SOLUSDT,0.00013079,Binance
2023-01-24 16:00:00.000,SOLUSDT,0.0001,Binance
2023-01-24 16:00:00.000,SOLUSDT,0.0001,Bybit
2023-01-25 00:00:00.000,SOLUSDT,0.0001,Bybit
2023-01-25 00:00:00.012,SOLUSDT,0.0001,Binance
2023-01-25 08:00:00.000,SOLUSDT,1.239e-05,Binance
2023-01-25 08:00:00.000,SOLUSDT,0.0001,Bybit
2023-01-25 16:00:00.000,SOLUSDT,0.0001,Bybit
2023-01-25 16:00:00.010,SOLUSDT,0.0001,Binance
2023-01-26 00:00:00.000,SOLUSDT,0.0001,Bybit
2023-01-26 00:00:00.010,SOLUSDT,0.0001,Binance
2023-01-26 08:00:00.000,SOLUSDT,0.00015732,Bybit
2023-01-26 08:00:00.003,SOLUSDT,0.0001,Binance
2023-01-26 16:00:00.000,SOLUSDT,0.0001,Bybit
2023-01-26 16:00:00.020,SOLUSDT,0.0001,Binance
2023-01-27 00:00:00.000,SOLUSDT,0.0001,Bybit
2023-01-27 00:00:00.008,SOLUSDT,0.0001,Binance
2023-01-27 08:00:00.000,SOLUSDT,0.0001,Binance
2023-01-27 08:00:00.000,SOLUSDT,0.0001,Bybit
2023-01-27 16:00:00.000,SOLUSDT,0.0001,Bybit
2023-01-27 16:00:00.000,SOLUSDT,0.0001,Binance
2023-01-28 00:00:00.000,SOLUSDT,0.00019994,Bybit
2023-01-28 00:00:00.009,SOLUSDT,0.0001,Binance
2023-01-28 08:00:00.000,SOLUSDT,0.00017179,Bybit
2023-01-28 08:00:00.018,SOLUSDT,0.00013046,Binance
2023-01-28 16:00:00.000,SOLUSDT,0.0001,Bybit
2023-01-28 16:00:00.005,SOLUSDT,0.0001,Binance
2023-01-29 00:00:00.000,SOLUSDT,0.0001,Bybit
2023-01-29 00:00:00.011,SOLUSDT,0.0001,Binance
2023-01-29 08:00:00.000,SOLUSDT,0.0001,Binance
2023-01-29 08:00:00.000,SOLUSDT,0.0001,Bybit
2023-01-29 16:00:00.000,SOLUSDT,0.0001,Bybit
2023-01-29 16:00:00.008,SOLUSDT,0.0001,Binance
2023-01-30 00:00:00.000,SOLUSDT,0.00050351,Bybit
2023-01-30 00:00:00.001,SOLUSDT,0.00050275,Binance
2023-01-30 08:00:00.000,SOLUSDT,0.0001887,Bybit
2023-01-30 08:00:00.000,SOLUSDT,0.0001,Binance
2023-01-30 16:00:00.000,SOLUSDT,0.0001,Binance
2023-01-30 16:00:00.000,SOLUSDT,0.0001,Bybit
2023-01-31 00:00:00.000,SOLUSDT,0.0001,Bybit
2023-01-31 00:00:00.005,SOLUSDT,0.0001,Binance
2023-01-31 08:00:00.000,SOLUSDT,0.0001,Binance
2023-01-31 08:00:00.000,SOLUSDT,0.0001,Bybit
2023-01-31 16:00:00.000,SOLUSDT,0.0001,Bybit
2023-01-31 16:00:00.007,SOLUSDT,0.0001,Binance
2023-02-01 00:00:00.000,SOLUSDT,0.0001,Bybit
2023-02-01 00:00:00.013,SOLUSDT,0.0001,Binance
2023-02-01 08:00:00.000,SOLUSDT,0.0001,Bybit
2023-02-01 08:00:00.000,SOLUSDT,0.0001,Binance
2023-02-01 16:00:00.000,SOLUSDT,0.0001,Bybit
2023-02-01 16:00:00.012,SOLUSDT,0.0001,Binance
2023-02-02 00:00:00.000,SOLUSDT,0.0001,Bybit
2023-02-02 00:00:00.004,SOLUSDT,0.0001,Binance
2023-02-02 08:00:00.000,SOLUSDT,0.00018822,Bybit
2023-02-02 08:00:00.023,SOLUSDT,0.00026236,Binance
2023-02-02 16:00:00.000,SOLUSDT,0.0001,Bybit
2023-02-02 16:00:00.003,SOLUSDT,0.0001,Binance
2023-02-03 00:00:00.000,SOLUSDT,0.0001,Bybit
2023-02-03 00:00:00.010,SOLUSDT,0.0001,Binance
2023-02-03 08:00:00.000,SOLUSDT,0.0001,Bybit
2023-02-03 08:00:00.000,SOLUSDT,6.262e-05,Binance
2023-02-03 16:00:00.000,SOLUSDT,0.0001,Bybit
2023-02-03 16:00:00.000,SOLUSDT,7.317e-05,Binance
2023-02-04 00:00:00.000,SOLUSDT,0.0001,Bybit
2023-02-04 00:00:00.010,SOLUSDT,0.0001,Binance
2023-02-04 08:00:00.000,SOLUSDT,0.0001,Bybit
2023-02-04 08:00:00.000,SOLUSDT,0.0001,Binance
