fundingTime,fundingRate,symbol
2020-09-13 16:00:00.004,0.0001,SOLUSDT
2020-09-13 16:00:00.004,0.0001,SOLUSDT
2020-09-13 16:00:00.004,0.0001,SOLUSDT
2020-09-13 16:00:00.004,0.0001,SOLUSDT
2020-09-13 16:00:00.004,0.0001,SOLUSDT
2020-09-13 16:00:00.004,0.0001,SOLUSDT
2020-09-13 16:00:00.004,0.0001,SOLUSDT
2020-09-13 16:00:00.004,0.0001,SOLUSDT
2020-09-13 16:00:00.004,0.0001,SOLUSDT
2020-09-13 16:00:00.004,0.0001,SOLUSDT
2020-09-13 16:00:00.004,0.0001,SOLUSDT
2020-09-13 16:00:00.004,0.0001,SOLUSDT
2020-09-13 16:00:00.004,0.0001,SOLUSDT
2020-09-13 16:00:00.004,0.0001,SOLUSDT
2020-09-13 16:00:00.004,0.0001,SOLUSDT
2020-09-13 16:00:00.004,0.0001,SOLUSDT
2020-09-13 16:00:00.004,0.0001,SOLUSDT
2020-09-13 16:00:00.004,0.0001,SOLUSDT
2020-09-13 16:00:00.004,0.0001,SOLUSDT
2020-09-13 16:00:00.004,0.0001,SOLUSDT
2020-09-13 16:00:00.004,0.0001,SOLUSDT
2020-09-13 16:00:00.004,0.0001,SOLUSDT
2020-09-13 16:00:00.004,0.0001,SOLUSDT
2020-09-13 16:00:00.004,0.0001,SOLUSDT
2020-09-13 16:00:00.004,0.0001,SOLUSDT
2020-09-13 16:00:00.004,0.0001,SOLUSDT
2020-09-13 16:00:00.004,0.0001,SOLUSDT
2020-09-13 16:00:00.004,0.0001,SOLUSDT
2020-09-13 16:00:00.004,0.0001,SOLUSDT
2020-09-13 16:00:00.004,0.0001,SOLUSDT
2020-09-13 16:00:00.004,0.0001,SOLUSDT
2020-09-13 16:00:00.004,0.0001,SOLUSDT
2020-09-13 16:00:00.004,0.0001,SOLUSDT
2020-09-13 16:00:00.004,0.0001,SOLUSDT
2020-09-13 16:00:00.004,0.0001,SOLUSDT
2020-09-13 16:00:00.004,0.0001,SOLUSDT
2020-09-13 16:00:00.004,0.0001,SOLUSDT
2020-09-13 16:00:00.004,0.0001,SOLUSDT
2020-09-13 16:00:00.004,0.0001,SOLUSDT
2020-09-13 16:00:00.004,0.0001,SOLUSDT
2020-09-13 16:00:00.004,0.0001,SOLUSDT
2020-09-13 16:00:00.004,0.0001,SOLUSDT
2020-09-13 16:00:00.004,0.0001,SOLUSDT
2020-09-13 16:00:00.004,0.0001,SOLUSDT
2020-09-13 16:00:00.004,0.0001,SOLUSDT
2020-09-13 16:00:00.004,0.0001,SOLUSDT
2020-09-13 16:00:00.004,0.0001,SOLUSDT
2020-09-13 16:00:00.004,0.0001,SOLUSDT
2020-09-13 16:00:00.004,0.0001,SOLUSDT
2020-09-13 16:00:00.004,0.0001,SOLUSDT
2020-09-13 16:00:00.004,0.0001,SOLUSDT
2020-09-13 16:00:00.004,0.0001,SOLUSDT
2020-09-13 16:00:00.004,0.0001,SOLUSDT
2020-09-13 16:00:00.004,0.0001,SOLUSDT
2020-09-13 16:00:00.004,0.0001,SOLUSDT
2020-09-13 16:00:00.004,0.0001,SOLUSDT
2020-09-13 16:00:00.004,0.0001,SOLUSDT
2020-09-13 16:00:00.004,0.0001,SOLUSDT
2020-09-13 16:00:00.004,0.0001,SOLUSDT
2020-09-13 16:00:00.004,0.0001,SOLUSDT
2020-09-13 16:00:00.004,0.0001,SOLUSDT
2020-09-13 16:00:00.004,0.0001,SOLUSDT
2020-09-13 16:00:00.004,0.0001,SOLUSDT
2020-09-13 16:00:00.004,0.0001,SOLUSDT
2020-09-13 16:00:00.004,0.0001,SOLUSDT
2020-09-13 16:00:00.004,0.0001,SOLUSDT
2020-09-13 16:00:00.004,0.0001,SOLUSDT
2020-09-13 16:00:00.004,0.0001,SOLUSDT
2020-09-13 16:00:00.004,0.0001,SOLUSDT
2020-09-13 16:00:00.004,0.0001,SOLUSDT
2020-09-13 16:00:00.004,0.0001,SOLUSDT
2020-09-13 16:00:00.004,0.0001,SOLUSDT
2020-09-13 16:00:00.004,0.0001,SOLUSDT
2020-09-13 16:00:00.004,0.0001,SOLUSDT
2020-09-13 16:00:00.004,0.0001,SOLUSDT
2020-09-13 16:00:00.004,0.0001,SOLUSDT
2020-09-13 16:00:00.004,0.0001,SOLUSDT
2020-09-13 16:00:00.004,0.0001,SOLUSDT
2020-09-13 16:00:00.004,0.0001,SOLUSDT
2020-09-13 16:00:00.004,0.0001,SOLUSDT
2020-09-13 16:00:00.004,0.0001,SOLUSDT
2020-09-13 16:00:00.004,0.0001,SOLUSDT
2020-09-13 16:00:00.004,0.0001,SOLUSDT
2020-09-13 16:00:00.004,0.0001,SOLUSDT
2020-09-13 16:00:00.004,0.0001,SOLUSDT
2020-09-13 16:00:00.004,0.0001,SOLUSDT
2020-09-13 16:00:00.004,0.0001,SOLUSDT
2020-09-13 16:00:00.004,0.0001,SOLUSDT
2020-09-13 16:00:00.004,0.0001,SOLUSDT
2020-09-13 16:00:00.004,0.0001,SOLUSDT
2020-09-13 16:00:00.004,0.0001,SOLUSDT
2020-09-13 16:00:00.004,0.0001,SOLUSDT
2020-09-13 16:00:00.004,0.0001,SOLUSDT
2020-09-13 16:00:00.004,0.0001,SOLUSDT
2020-09-13 16:00:00.004,0.0001,SOLUSDT
2020-09-13 16:00:00.004,0.0001,SOLUSDT
2020-09-13 16:00:00.004,0.0001,SOLUSDT
2020-09-13 16:00:00.004,0.0001,SOLUSDT
2020-09-13 16:00:00.004,0.0001,SOLUSDT
